articleTitle,articleLink,discussionResult,discussionResultDate,totalUser,totalPosts,totalWords,totalChars,keepVote,deleteVote,otherVotesCount,generalNotabilityCount,eventNotabilityCount,orgNotabilityCount,otherNotabilityCount,revClosestDate,revClosestID,revEditSize,revPageTitle
Bellator 120: Alvarez vs Chandler III,/wiki/Wikipedia:Articles_for_deletion/Bellator_120:_Alvarez_vs_Chandler_III,Redirect to,2014-05-18 17:18:00,7,2,28,167,0,0,2,0,1,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Release of hostage Christina Meier,/wiki/Wikipedia:Articles_for_deletion/Release_of_hostage_Christina_Meier,delete,2014-05-17 22:37:00,12,9,353,2147,2,5,2,0,3,0,3,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Tehran Football League 1969-1970,/wiki/Wikipedia:Articles_for_deletion/Tehran_Football_League_1969-1970,delete,2014-05-17 22:51:00,8,26,165,1156,0,1,2,1,0,0,2,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
David Archuleta Live In Concert,/wiki/Wikipedia:Articles_for_deletion/David_Archuleta_Live_In_Concert,merge to,2014-05-18 07:09:00,8,2,64,394,0,1,1,0,0,0,2,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Christmas from the Heart Tour,/wiki/Wikipedia:Articles_for_deletion/Christmas_from_the_Heart_Tour,delete,2014-05-18 07:08:00,3,1,17,109,0,1,0,0,0,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
The Other Side of Down Asian Tour,/wiki/Wikipedia:Articles_for_deletion/The_Other_Side_of_Down_Asian_Tour,merge to,2014-05-18 07:06:00,10,2,64,394,0,1,1,0,0,0,2,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
My Kind of Christmas Tour,/wiki/Wikipedia:Articles_for_deletion/My_Kind_of_Christmas_Tour,delete,2014-05-18 07:03:00,3,1,15,96,0,1,0,0,0,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Low Carbon Vehicle Event,/wiki/Wikipedia:Articles_for_deletion/Low_Carbon_Vehicle_Event,delete,2014-05-18 02:32:00,9,3,110,630,1,2,0,0,0,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Belhaven/Pantego Tornado,/wiki/Wikipedia:Articles_for_deletion/Belhaven/Pantego_Tornado,delete,2014-05-17 14:56:00,5,2,70,419,0,1,1,0,1,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
2014 Jämijärvi Comp Air 8 crash,/wiki/Wikipedia:Articles_for_deletion/2014_J%C3%A4mij%C3%A4rvi_Comp_Air_8_crash,delete,2014-05-15 09:28:00,9,7,211,1296,0,3,4,0,1,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
2014 Saltillo BAe 125 crash,/wiki/Wikipedia:Articles_for_deletion/2014_Saltillo_BAe_125_crash,delete,2014-05-15 09:49:00,7,5,95,636,0,1,4,0,1,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
IADIS Mobile Learning,/wiki/Wikipedia:Articles_for_deletion/IADIS_Mobile_Learning,delete,2014-05-14 21:53:00,6,3,37,238,0,3,0,0,0,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Beresfield rail accident,/wiki/Wikipedia:Articles_for_deletion/Beresfield_rail_accident,merge to,2014-05-14 17:48:00,11,8,229,1397,2,3,3,0,1,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Eastern Airlines Flight 935,/wiki/Wikipedia:Articles_for_deletion/Eastern_Airlines_Flight_935,merge to,2014-05-14 12:53:00,10,4,102,672,0,0,3,0,0,0,3,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Elite Model Look International 2012,/wiki/Wikipedia:Articles_for_deletion/Elite_Model_Look_International_2012,redirect to,2014-05-13 21:35:00,4,2,45,299,0,0,2,0,1,0,0,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
2011–12 FK Sarajevo season,/wiki/Wikipedia:Articles_for_deletion/2011%E2%80%9312_FK_Sarajevo_season,no consensus,2014-05-12 12:52:00,9,7,250,1510,3,2,1,1,0,0,4,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Pro-Russian insurgency in Donetsk region,/wiki/Wikipedia:Articles_for_deletion/Pro-Russian_insurgency_in_Donetsk_region,redirect to,2014-05-12 11:19:00,16,9,247,1507,1,3,4,0,0,0,2,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
King's Cross derailment,/wiki/Wikipedia:Articles_for_deletion/King%27s_Cross_derailment,merge to,2014-05-11 21:17:00,15,12,259,1549,4,1,7,0,0,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
2015 NCAA Men's Division I Basketball Championship Game,/wiki/Wikipedia:Articles_for_deletion/2015_NCAA_Men%27s_Division_I_Basketball_Championship_Game,delete,2014-05-10 07:17:00,11,6,336,1867,2,2,1,0,0,0,5,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
2013–14 Veria F.C. season,/wiki/Wikipedia:Articles_for_deletion/2013%E2%80%9314_Veria_F.C._season,keep,2014-05-09 02:44:00,10,6,363,2078,4,0,2,0,0,0,4,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Worldwide wave of action,/wiki/Wikipedia:Articles_for_deletion/Worldwide_wave_of_action,no consensus,2014-05-08 08:22:00,5,2,130,844,0,0,2,1,0,0,4,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Davao City Torotot Festival,/wiki/Wikipedia:Articles_for_deletion/Davao_City_Torotot_Festival,no consensus,2014-05-08 08:08:00,5,2,104,592,1,0,1,0,0,0,4,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Bexley derailment,/wiki/Wikipedia:Articles_for_deletion/Bexley_derailment,merge to,2014-05-07 00:20:00,8,3,58,361,0,0,3,0,0,0,4,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Fethiye World Music Festival,/wiki/Wikipedia:Articles_for_deletion/Fethiye_World_Music_Festival,speedy delete,2014-05-01 18:12:00,10,5,68,396,0,0,5,0,0,0,4,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
World Reading Day,/wiki/Wikipedia:Articles_for_deletion/World_Reading_Day,speedy delete,2014-04-30 16:04:00,9,6,314,2128,0,3,2,0,0,0,3,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Argentina v England (1986 FIFA World Cup),/wiki/Wikipedia:Articles_for_deletion/Argentina_v_England_(1986_FIFA_World_Cup),speedy keep,2014-04-30 09:19:00,14,8,215,1199,7,0,1,1,0,0,3,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
2023 FIBA Basketball World Cup,/wiki/Wikipedia:Articles_for_deletion/2023_FIBA_Basketball_World_Cup,delete,2014-04-29 22:38:00,11,7,348,1967,0,3,4,0,0,0,5,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
11 December 2013 Euromaidan assault,/wiki/Wikipedia:Articles_for_deletion/11_December_2013_Euromaidan_assault,keep,2014-04-29 15:04:00,9,4,161,902,3,0,0,0,0,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Pro-National League Futsal Malaysia 2014-2015,/wiki/Wikipedia:Articles_for_deletion/Pro-National_League_Futsal_Malaysia_2014-2015,Merge and Redirect,2014-04-28 17:37:00,9,6,137,812,0,1,5,0,0,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
"Alan Jones ""died of shame"" controversy (2nd nomination)",/wiki/Wikipedia:Articles_for_deletion/Alan_Jones_%22died_of_shame%22_controversy_(2nd_nomination),keep,2014-04-24 04:16:00,12,9,515,3008,3,1,4,0,1,0,1,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
Arnhem train accident,/wiki/Wikipedia:Articles_for_deletion/Arnhem_train_accident,delete,2014-04-21 15:50:00,6,3,90,568,0,2,1,0,0,0,2,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Acayucan bus crash,/wiki/Wikipedia:Articles_for_deletion/Acayucan_bus_crash,keep,2014-04-21 07:21:00,29,26,4743,28121,8,0,3,1,1,0,15,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
List of Boy George concert and DJ tours,/wiki/Wikipedia:Articles_for_deletion/List_of_Boy_George_concert_and_DJ_tours,delete,2014-04-21 13:31:00,12,7,433,2536,0,4,1,1,0,0,0,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
2013–14 North American winter storms,/wiki/Wikipedia:Articles_for_deletion/2013%E2%80%9314_North_American_winter_storms,no consensus,2014-04-19 17:38:00,6,3,205,1229,2,1,0,1,0,0,3,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Indian general election 2014 results,/wiki/Wikipedia:Articles_for_deletion/Indian_general_election_2014_results,userfy to,2014-04-19 03:01:00,5,2,44,251,0,0,2,0,0,0,2,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Camarillo Classic,/wiki/Wikipedia:Articles_for_deletion/Camarillo_Classic,Redirect to,2014-04-18 15:06:00,5,2,79,461,0,0,2,0,0,0,1,2014-04-01 12:31:13,602257322,86,Wikipedia:Notability_(events)
Happiness is Here Parade,/wiki/Wikipedia:Articles_for_deletion/Happiness_is_Here_Parade,Delete,2014-04-18 14:45:00,5,2,47,315,0,2,0,0,0,0,3,2014-04-01 12:31:13,602257322,86,Wikipedia:Notability_(events)
Umang,/wiki/Wikipedia:Articles_for_deletion/Umang,Delete,2014-04-18 15:07:00,4,1,24,176,0,1,0,0,0,0,1,2014-04-01 12:31:13,602257322,86,Wikipedia:Notability_(events)
European Classic,/wiki/Wikipedia:Articles_for_deletion/European_Classic,delete,2014-04-18 18:15:00,13,7,233,1457,0,6,1,1,0,0,3,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Odessa People's Republic,/wiki/Wikipedia:Articles_for_deletion/Odessa_People%27s_Republic,delete,2014-04-17 10:19:00,11,5,126,739,0,2,3,0,0,0,3,2014-04-15 00:41:16,604233942,11,Wikipedia:Notability_(events)
"Boys are stupid, throw rocks at them! controversy","/wiki/Wikipedia:Articles_for_deletion/Boys_are_stupid,_throw_rocks_at_them!_controversy",No consensus,2014-04-16 08:55:00,23,24,1092,6453,7,2,14,1,0,0,3,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Collective Soul Canadian Tour 2014,/wiki/Wikipedia:Articles_for_deletion/Collective_Soul_Canadian_Tour_2014,Delete,2014-04-16 08:35:00,7,2,59,359,0,2,0,2,0,0,2,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
2005 Deelfontein train collision,/wiki/Wikipedia:Articles_for_deletion/2005_Deelfontein_train_collision,delete,2014-04-15 19:31:00,2,0,0,0,0,0,0,2,0,0,2,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Homeworkgate,/wiki/Wikipedia:Articles_for_deletion/Homeworkgate,merge to,2014-04-15 02:05:00,15,9,367,2244,2,0,7,1,1,0,2,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
List of ice storms,/wiki/Wikipedia:Articles_for_deletion/List_of_ice_storms,keep,2014-04-15 02:16:00,10,6,258,1547,5,0,1,0,0,0,4,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Miss Queen of India,/wiki/Wikipedia:Articles_for_deletion/Miss_Queen_of_India,Delete,2014-04-14 11:57:00,6,3,107,666,1,2,0,2,0,0,2,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
There's Something In The Water Songwriters Festival,/wiki/Wikipedia:Articles_for_deletion/There%27s_Something_In_The_Water_Songwriters_Festival,Delete,2014-04-14 11:53:00,8,3,180,1000,0,2,1,1,0,0,2,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Crimean speech of Vladimir Putin,/wiki/Wikipedia:Articles_for_deletion/Crimean_speech_of_Vladimir_Putin,Keep,2014-04-13 05:54:00,20,18,3984,24482,7,3,7,0,0,0,5,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
AFC U-14 Championship,/wiki/Wikipedia:Articles_for_deletion/AFC_U-14_Championship,Delete,2014-04-13 06:07:00,10,4,78,491,0,0,3,1,0,0,2,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Disappearance of Fryderyk Frontier,/wiki/Wikipedia:Articles_for_deletion/Disappearance_of_Fryderyk_Frontier,delete,2014-04-13 01:00:00,9,4,83,483,0,3,1,0,1,0,0,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
Voronezh UFO incident,/wiki/Wikipedia:Articles_for_deletion/Voronezh_UFO_incident,no consensus,2014-04-12 00:18:00,21,24,2002,11752,6,6,5,1,1,0,8,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
The Power of Love Tour,/wiki/Wikipedia:Articles_for_deletion/The_Power_of_Love_Tour,merge to,2014-04-11 22:49:00,6,3,101,578,0,0,3,0,0,0,4,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
List of droughts,/wiki/Wikipedia:Articles_for_deletion/List_of_droughts,Keep,2014-04-11 23:14:00,11,7,457,2722,5,1,1,0,0,0,4,2014-04-01 12:31:13,602257322,86,Wikipedia:Notability_(events)
AON: All Or Nothing World Tour,/wiki/Wikipedia:Articles_for_deletion/AON:_All_Or_Nothing_World_Tour,redirect to,2014-04-11 04:40:00,8,4,134,761,0,1,3,0,0,0,4,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
Mickey's Soundsational Parade,/wiki/Wikipedia:Articles_for_deletion/Mickey%27s_Soundsational_Parade,redirect to,2014-04-11 04:33:00,8,3,63,420,0,1,2,0,0,0,2,2014-04-01 12:31:13,602257322,86,Wikipedia:Notability_(events)
Warwick International Development Summit,/wiki/Wikipedia:Articles_for_deletion/Warwick_International_Development_Summit,delete,2014-04-10 11:40:00,4,1,22,123,0,1,0,0,0,0,2,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Hub bus-tanker crash,/wiki/Wikipedia:Articles_for_deletion/Hub_bus-tanker_crash,delete,2014-04-10 21:45:00,10,6,225,1292,2,2,0,1,1,0,2,2014-04-01 12:31:13,602257322,86,Wikipedia:Notability_(events)
Flights of Fantasy Parade,/wiki/Wikipedia:Articles_for_deletion/Flights_of_Fantasy_Parade,delete,2014-04-10 10:57:00,4,2,43,300,0,2,0,0,1,0,2,2014-04-01 12:31:13,602257322,86,Wikipedia:Notability_(events)
Miss India Worldwide 1991,/wiki/Wikipedia:Articles_for_deletion/Miss_India_Worldwide_1991,no consensus,2014-04-10 01:20:00,9,4,182,1077,1,0,3,0,0,0,4,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
2014 Shinhwa 16th Anniversary concert-HERE,/wiki/Wikipedia:Articles_for_deletion/2014_Shinhwa_16th_Anniversary_concert-HERE,delete,2014-04-08 03:35:00,2,0,0,0,0,0,0,0,0,0,4,2014-04-01 12:31:13,602257322,86,Wikipedia:Notability_(events)
Barendrecht train accident,/wiki/Wikipedia:Articles_for_deletion/Barendrecht_train_accident,Nomination withdrawn,2014-04-08 01:33:00,12,9,883,5195,5,0,2,1,0,0,2,2014-04-03 03:39:59,602520123,57,Wikipedia:Notability_(events)
2014 Boston Brownstone Fire,/wiki/Wikipedia:Articles_for_deletion/2014_Boston_Brownstone_Fire,no consensus,2014-04-07 19:36:00,18,16,931,5387,5,6,5,0,1,0,5,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
2016 ICC World Twenty20,/wiki/Wikipedia:Articles_for_deletion/2016_ICC_World_Twenty20,keep,2014-04-07 01:52:00,9,4,117,708,4,0,0,0,0,0,1,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
2014 Final Four,/wiki/Wikipedia:Articles_for_deletion/2014_Final_Four,redirect to,2014-04-06 06:27:00,16,10,585,3485,0,4,4,0,0,0,3,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
2014 banker suicides,/wiki/Wikipedia:Articles_for_deletion/2014_banker_suicides,delete,2014-04-05 14:41:00,35,37,2686,16936,5,10,14,4,0,0,21,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
"Toronto mayoral election, 2018","/wiki/Wikipedia:Articles_for_deletion/Toronto_mayoral_election,_2018",delete,2014-04-05 03:41:00,13,7,210,1278,0,6,1,0,0,0,4,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
Timeline of the 2001 anthrax attacks,/wiki/Wikipedia:Articles_for_deletion/Timeline_of_the_2001_anthrax_attacks,delete,2014-04-05 03:43:00,9,5,122,670,1,3,1,0,0,0,7,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
Deaths of Lawrence and Glenna Shapiro,/wiki/Wikipedia:Articles_for_deletion/Deaths_of_Lawrence_and_Glenna_Shapiro,delete,2014-04-04 02:55:00,12,6,365,2332,0,4,2,0,2,0,6,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
EDSA-Muñoz Bus-truck collision,/wiki/Wikipedia:Articles_for_deletion/EDSA-Mu%C3%B1oz_Bus-truck_collision,delete,2014-04-03 21:35:00,6,1,11,66,0,1,0,0,0,0,1,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
Festival of Fantasy Parade,/wiki/Wikipedia:Articles_for_deletion/Festival_of_Fantasy_Parade,delete,2014-04-02 03:51:00,4,5,219,1351,0,1,1,1,1,0,4,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
2005 Eureka Earthquake,/wiki/Wikipedia:Articles_for_deletion/2005_Eureka_Earthquake,redirect to,2014-04-02 04:55:00,6,14,710,4368,0,0,8,1,1,0,1,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
List of Lorde performances,/wiki/Wikipedia:Articles_for_deletion/List_of_Lorde_performances,delete,2014-03-29 22:45:00,5,2,95,587,0,1,1,0,0,0,2,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
Football at the 2011 Military World Games,/wiki/Wikipedia:Articles_for_deletion/Football_at_the_2011_Military_World_Games,redirect to,2014-03-30 09:23:00,8,5,249,1487,2,0,3,1,0,0,3,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Murder of Brenda Dawn Hirons,/wiki/Wikipedia:Articles_for_deletion/Murder_of_Brenda_Dawn_Hirons,delete,2014-03-30 05:13:00,9,3,169,992,0,3,0,0,0,0,1,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Simferopol incident,/wiki/Wikipedia:Articles_for_deletion/Simferopol_incident,keep,2014-03-28 18:24:00,18,17,710,4365,7,3,5,0,0,0,2,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
"Delhi Legislative Assembly election, 2014","/wiki/Wikipedia:Articles_for_deletion/Delhi_Legislative_Assembly_election,_2014",delete,2014-03-28 09:53:00,8,4,306,1832,2,1,1,0,0,0,3,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Saint Andrews World Golf Festival,/wiki/Wikipedia:Articles_for_deletion/Saint_Andrews_World_Golf_Festival,delete,2014-03-28 05:01:00,12,5,168,1003,0,3,2,2,1,0,7,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
1st Annual D.I.C.E Awards,/wiki/Wikipedia:Articles_for_deletion/1st_Annual_D.I.C.E_Awards,redirect to,2014-03-27 09:00:00,9,4,176,1038,0,0,4,0,0,0,4,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
2014 ICC World Twenty20 statistics,/wiki/Wikipedia:Articles_for_deletion/2014_ICC_World_Twenty20_statistics,withdrawn,2014-03-27 08:49:00,7,1,48,269,1,0,0,0,0,0,2,2014-03-23 22:03:01,600940733,25,Wikipedia:Notability_(organizations_and_companies)
Falcon 20 kish accident,/wiki/Wikipedia:Articles_for_deletion/Falcon_20_kish_accident,delete,2014-03-26 01:57:00,8,4,185,1065,1,2,1,1,1,0,0,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Death of Berkin Elvan,/wiki/Wikipedia:Articles_for_deletion/Death_of_Berkin_Elvan,no consensus,2014-03-24 19:14:00,14,12,702,4088,5,1,6,0,0,0,5,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Doug Ring with the Australian cricket team in England in 1948,/wiki/Wikipedia:Articles_for_deletion/Doug_Ring_with_the_Australian_cricket_team_in_England_in_1948,keep,2014-03-24 05:19:00,24,20,1678,9802,7,3,8,1,1,0,7,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Murder of Kimberly Nees,/wiki/Wikipedia:Articles_for_deletion/Murder_of_Kimberly_Nees,delete,2014-03-23 01:13:00,8,3,68,439,0,3,0,0,1,0,1,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Murder of Kasandra Shepherd,/wiki/Wikipedia:Articles_for_deletion/Murder_of_Kasandra_Shepherd,delete,2014-03-23 01:14:00,8,3,54,361,0,3,0,0,1,0,1,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Murder of Jessica Currin,/wiki/Wikipedia:Articles_for_deletion/Murder_of_Jessica_Currin,delete,2014-03-23 01:15:00,10,3,171,1070,1,2,0,0,1,0,3,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
2020 ICC World T20,/wiki/Wikipedia:Articles_for_deletion/2020_ICC_World_T20,delete,2014-03-23 01:13:00,7,4,111,656,0,4,0,0,0,0,4,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Ricky Ponting with the Australian cricket team in India in 2008–09,/wiki/Wikipedia:Articles_for_deletion/Ricky_Ponting_with_the_Australian_cricket_team_in_India_in_2008%E2%80%9309,keep,2014-03-23 01:27:00,8,5,245,1401,3,0,2,0,0,0,1,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
2014 AFC U-14 Girls Regional Championship,/wiki/Wikipedia:Articles_for_deletion/2014_AFC_U-14_Girls_Regional_Championship,delete,2014-03-22 06:35:00,17,5,131,806,1,4,0,5,0,0,3,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Lithuania at the 2001 World Aquatics Championships,/wiki/Wikipedia:Articles_for_deletion/Lithuania_at_the_2001_World_Aquatics_Championships,no consensus,2014-03-21 12:41:00,7,2,44,273,1,1,0,1,1,0,2,2014-02-07 21:47:00,594426737,2,Wikipedia:Notability_(events)
Saint Lucia Earthquake 2011,/wiki/Wikipedia:Articles_for_deletion/Saint_Lucia_Earthquake_2011,delete,2014-03-21 12:18:00,4,2,88,503,1,1,0,0,1,0,2,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
Malaya vs Indonesia (1977 Pre-World Cup),/wiki/Wikipedia:Articles_for_deletion/Malaya_vs_Indonesia_(1977_Pre-World_Cup),delete,2014-03-20 00:48:00,13,7,212,1340,0,7,0,1,1,0,2,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Wherever We May Roam Tour,/wiki/Wikipedia:Articles_for_deletion/Wherever_We_May_Roam_Tour,no consensus,2014-03-19 11:42:00,6,3,57,346,1,1,1,0,0,0,1,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
Westport Bombings (2011-2012),/wiki/Wikipedia:Articles_for_deletion/Westport_Bombings_(2011-2012),delete,2014-03-19 15:15:00,9,2,61,361,0,0,2,0,2,0,2,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
2014 AFC U-14 Championship,/wiki/Wikipedia:Articles_for_deletion/2014_AFC_U-14_Championship,delete,2014-03-19 00:40:00,7,2,80,469,0,2,0,2,0,0,1,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
2014 Eureka Earthquake,/wiki/Wikipedia:Articles_for_deletion/2014_Eureka_Earthquake,redirect to,2014-03-18 19:05:00,6,4,129,756,0,0,4,0,0,0,3,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
2014 Havnar Bóltfelag season,/wiki/Wikipedia:Articles_for_deletion/2014_Havnar_B%C3%B3ltfelag_season,delete,2014-03-18 19:04:00,8,3,57,345,0,3,0,0,0,0,4,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
Haughey Air AgustaWestland AW139 crash,/wiki/Wikipedia:Articles_for_deletion/Haughey_Air_AgustaWestland_AW139_crash,(unknown),2014-03-16 12:42:00,17,13,1160,7035,8,0,2,0,1,0,10,2014-03-11 08:07:24,599103347,1,Wikipedia:Notability_(organizations_and_companies)
2014 Knattspyrnufélag Reykjavíkur season,/wiki/Wikipedia:Articles_for_deletion/2014_Knattspyrnuf%C3%A9lag_Reykjav%C3%ADkur_season,delete,2014-03-16 03:07:00,9,3,60,351,0,3,0,1,0,0,4,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
Princeton University Mathematics Competition (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Princeton_University_Mathematics_Competition_(2nd_nomination),delete,2014-03-14 15:56:00,13,7,398,2345,0,3,3,2,0,0,1,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
Mutya Han Samar,/wiki/Wikipedia:Articles_for_deletion/Mutya_Han_Samar,merge to,2014-03-14 00:07:00,12,5,118,645,0,0,5,1,0,0,1,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
March for Life (Prague),/wiki/Wikipedia:Articles_for_deletion/March_for_Life_(Prague),keep,2014-03-13 14:35:00,11,3,293,1661,1,0,1,0,0,0,1,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
2011 in UEFA,/wiki/Wikipedia:Articles_for_deletion/2011_in_UEFA,keep,2014-03-13 09:59:00,9,4,240,1419,3,1,0,0,0,0,2,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
Ole Miss - Notre Dame football series,/wiki/Wikipedia:Articles_for_deletion/Ole_Miss_-_Notre_Dame_football_series,delete,2014-03-13 15:36:00,12,4,152,921,0,3,1,0,0,0,1,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
Azerbaijan Grand Prix,/wiki/Wikipedia:Articles_for_deletion/Azerbaijan_Grand_Prix,delete,2014-03-13 06:23:00,19,9,339,2072,1,7,1,1,2,0,7,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
Paradise Tour,/wiki/Wikipedia:Articles_for_deletion/Paradise_Tour,merge to,2014-03-12 08:42:00,5,2,109,594,0,0,2,0,0,0,1,2014-02-07 21:47:00,594426737,2,Wikipedia:Notability_(events)
Shag Harbour UFO incident,/wiki/Wikipedia:Articles_for_deletion/Shag_Harbour_UFO_incident,keep,2014-03-11 11:37:00,9,5,300,1795,4,0,1,0,0,0,5,2014-02-22 14:07:48,596634002,29,Wikipedia:Notability_(organizations_and_companies)
