articleTitle,articleLink,discussionResult,discussionResultDate,totalUser,totalPosts,totalWords,totalChars,keepVote,deleteVote,otherVotesCount,generalNotabilityCount,eventNotabilityCount,orgNotabilityCount,otherNotabilityCount,revClosestDate,revClosestID,revEditSize,revPageTitle
Iranian famine of 1942–1943,/wiki/Wikipedia:Articles_for_deletion/Iranian_famine_of_1942%E2%80%931943,keep,2019-12-15 18:08:00,17,12,422,2803,7,2,3,0,0,0,3,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Sydney New Year's Eve 2011–12,/wiki/Wikipedia:Articles_for_deletion/Sydney_New_Year%27s_Eve_2011%E2%80%9312,delete and redirect,2019-12-14 16:37:00,13,10,473,2805,0,3,7,0,1,0,1,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Sedgwick County Fair,/wiki/Wikipedia:Articles_for_deletion/Sedgwick_County_Fair,delete,2019-12-12 15:20:00,4,1,62,371,0,1,0,0,1,0,0,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
2019 Shaybah attack,/wiki/Wikipedia:Articles_for_deletion/2019_Shaybah_attack,soft delete,2019-12-12 11:14:00,8,2,145,837,0,1,1,0,0,0,2,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
2020 Vision Initiative,/wiki/Wikipedia:Articles_for_deletion/2020_Vision_Initiative,delete,2019-12-11 16:10:00,5,1,98,623,0,1,0,0,0,0,1,2019-11-22 17:28:19,927462312,6,Wikipedia:Notability_(organizations_and_companies)
2019 East–West Pipeline attack,/wiki/Wikipedia:Articles_for_deletion/2019_East%E2%80%93West_Pipeline_attack,soft delete,2019-12-11 22:20:00,7,1,20,111,0,1,0,0,0,0,2,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
2019 Aden Missile Strike,/wiki/Wikipedia:Articles_for_deletion/2019_Aden_Missile_Strike,delete,2019-12-11 22:20:00,7,2,75,435,0,1,0,0,0,0,2,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
The Independent Realists Exhibition,/wiki/Wikipedia:Articles_for_deletion/The_Independent_Realists_Exhibition,redirect,2019-12-11 22:12:00,9,6,285,1797,0,1,4,0,0,0,2,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Qatar T10 League,/wiki/Wikipedia:Articles_for_deletion/Qatar_T10_League,keep,2019-12-11 18:03:00,11,5,157,937,5,0,0,0,0,0,2,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Zvents,/wiki/Wikipedia:Articles_for_deletion/Zvents,soft delete,2019-12-10 14:28:00,3,0,0,0,0,0,0,0,0,0,2,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Motion (conference),/wiki/Wikipedia:Articles_for_deletion/Motion_(conference),delete,2019-12-09 00:17:00,7,4,117,718,0,4,0,0,0,3,1,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Quark (technical festival),/wiki/Wikipedia:Articles_for_deletion/Quark_(technical_festival),speedy keep,2019-12-06 20:53:00,5,1,125,1019,0,0,1,0,0,0,2,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
ISS wave,/wiki/Wikipedia:Articles_for_deletion/ISS_wave,delete,2019-12-06 05:59:00,6,2,79,470,0,1,1,0,3,0,1,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
2019 Philippines polio outbreak,/wiki/Wikipedia:Articles_for_deletion/2019_Philippines_polio_outbreak,keep,2019-12-05 05:48:00,9,6,209,1313,3,1,2,0,0,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Sydney New Year's Eve 2008–09,/wiki/Wikipedia:Articles_for_deletion/Sydney_New_Year%27s_Eve_2008%E2%80%9309,delete,2019-12-04 20:07:00,20,17,3495,21325,1,3,12,0,1,0,9,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Dadasaheb Phalke International Film Festival,/wiki/Wikipedia:Articles_for_deletion/Dadasaheb_Phalke_International_Film_Festival,delete,2019-12-02 12:35:00,8,3,226,1564,0,1,2,1,0,0,2,2019-11-22 17:28:19,927462312,6,Wikipedia:Notability_(organizations_and_companies)
